key,question,options,num options,question type,factual,Wave,Personal and social identity,Science and technology,National / political issues,Coded?
GAP21Q20_W82,"Overall, do you think having people of many different backgrounds, such as different ethnic groups, religions and races, makes the US","['A better place to live', 'A worse place to live', 'Refused']",3,bi-polarity,FALSE,W82,1,0,0,L
AVGFAM_W41,"Over the next 30 years, do you think that the average American family will see its standard of living","['Get better', 'Stay about the same', 'Get worse', 'Refused']",4,multi-goldilocks,FALSE,W41,0,0,1,L
HAPPEN2a_W41,How likely do you think it is that the following will happen in the next 30 years? There will be a terrorist attack on the U.S. as bad as or worse than 9/11,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W41,0,0,1,L
HAPPEN2b_W41,How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W41,0,0,1,L
HAPPEN2c_W41,How likely do you think it is that the following will happen in the next 30 years? There will be a cure for Alzheimer's disease,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W41,0,1,0,L
HAPPEN2d_W41,How likely do you think it is that the following will happen in the next 30 years? China will overtake the U.S. as the world's main superpower,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W41,0,0,1,L
HAPPEN2e_W41,How likely do you think it is that the following will happen in the next 30 years? A woman will be elected U.S. president,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W41,1,0,0,L
HAPPEN2f_W41,How likely do you think it is that the following will happen in the next 30 years? A Hispanic person will be elected U.S. president,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W41,1,0,0,L
HAPPEN2g_W41,How likely do you think it is that the following will happen in the next 30 years? Most Americans will work into their 70s to have enough resources to retire,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W41,0,0,1,L
HAPPEN2h_W41,How likely do you think it is that the following will happen in the next 30 years? There will be increasing violence against Jews in the U.S.,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W41,0,0,1,L
PREDICTA_W27,Do you think the following will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W27,0,1,0,L
PREDICTB_W27,Do you think the following will or will not happen in the next 20 years? Most stores and retail businesses will be fully automated and involve little or no human interaction between customers and employees,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W27,0,1,0,L
PREDICTC_W27,Do you think the following will or will not happen in the next 20 years? Most deliveries in cities will be made by robots or drones instead of humans,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W27,0,1,0,L
PREDICTD_W27,"Do you think the following will or will not happen in the next 20 years? When people want to buy most common products, they will create them at home using a 3-D printer","['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",5,scale-opinion,FALSE,W27,0,1,0,L
CARS3B_W27,"How worried are you, if at all, about the development of driverless vehicles?","['Very worried', 'Somewhat worried', 'Not too worried', 'Not at all worried', 'Refused']",5,scale-opinion,FALSE,W27,0,1,0,L
ROBJOB3B_W27,"How worried are you, if at all, about the possibility of robots and computers being able to do most of the jobs currently done by humans in the future, for society as a whole?","['Very worried', 'Somewhat worried', 'Not too worried', 'Not at all worried', 'Refused']",5,scale-opinion,FALSE,W27,0,1,0,L
ENVC_W41,"By the year 2050, do you think the overall condition of the environment will be","['Better than it is now', 'Worse than it is now', 'About the same as it is now', 'Refused']",4,multi-goldilocks,FALSE,W41,0,0,1,L
POPPROB_W41,"In 2050, do you think population growth in the U.S. will be a","['Major problem', 'Minor problem', 'Not a problem', 'Refused']",4,multi-goldilocks,FALSE,W41,0,0,1,L
FTRWORRYa_W41,"Still thinking about the future of our country, how worried are you, if at all, about the overall soundness of our economic system?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']",5,scale-opinion,FALSE,W41,0,0,1,L
