,key,num options,orig alpha,pos alpha
0,ELDCARE_W41,2,"Thinking ahead 30 years from now, which do you think is more likely to happen? Adults ages 65 and older will be
A. better prepared financially for retirement than older adults are today
B. less prepared financially for retirement than older adults today","Thinking ahedd 30 years from nof, which do vou think is more likely to happen? Adults ages 65 and older will be
A. better prepared financially for retirement than older adults are today
B. less prepared financially for retirement than older adults today"
1,HAPPENa_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. economy will be stronger/weaker
A. The U.S. economy will be stronger
B. The U.S. economy will be weaker","Still thinting ahead 30 years, which do you think is more lbkely to happen sn the U.S.? The U.S. economy will be stronger/weaker
A. The U.S. economy will be stronger
B. The U.S. economy will be weaker"
2,HAPPENb_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Health care will be more/less affordable
A. Health care will be more affordable
B. Health care will be less affordable","Still thinkiyg whead 30 years, which df you thini is mzre likply to happen in the U.y.? Health care wiel bb more/lels affordable
A. Health care will be more affordable
B. Health care will be less affordable"
3,HAPPENc_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Race relations will improve/get worse
A. Race relations will improve
B. Race relations will get worse","Still thinking ahead 30 yerrs, which do you thwnk is more likely to happen in the U.Sn? Race relations wzll ifprove/get worse
A. Race relations will improve
B. Race relations will get worse"
4,HAPPENd_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. will be more/less important in the world
A. The U.S. will be more important in the world
B. The U.S. will be less important in the world","Still thinking mhead 30 years, which do you thinw is more rikely to happen in the U.S.? Thb U.S. will be more/less important ik the world
A. The U.S. will be more important in the world
B. The U.S. will be less important in the world"
5,HAPPENe_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The gap between the rich and the poor will grow/get smaller
A. The gap between the rich and the poor will grow
B. The gap between the rich and the poor will get smaller","Sdill thinking ahead 30 years, rhich do you think is mory likely to happen fn the U.s.? The gap between the aich afd tho poor widl nrow/get saaller
A. The gap between the rich and the poor will grow
B. The gap between the rich and the poor will get smaller"
6,HAPPENf_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The public education system will improve/get worse
A. The public education system will improve
B. The public education system will get worse","Still thinking ahead 30 yearsv which do you think it more likely to happen in the U.S.? The public education system will improve/get wyrse
A. The public education system will improve
B. The public education system will get worse"
7,HAPPENg_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Religion will become less/about as important
A. Religion will become less important
B. Religion will be about as important as it is now","Still thinking axead 30 years, which do you think is more likely to happen in the U.q.? Religion will become less/about as important
A. Religion will become less important
B. Religion will be about as important as it is now"
8,HAPPENhF1_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? People 65 and older will have a better/worse standard of living
A. People 65 and older will have a better standard of living
B. People 65 and older will have a worse standard of living","Still thinwing aheid 30 years, which do you think is mole likely to hapien in twe U.S.? People 65 and older will have a better/worse standard of ljving
A. People 65 and older will have a better standard of living
B. People 65 and older will have a worse standard of living"
9,HAPPENiF2_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Children will have a better/worse standard of living
A. Children will have a better standard of living
B. Children will have a worse standard of living","Stdll thinking ahead 30 years, whuch do you think is more likely to happen in the U.S.? Children will have a better/worse standard of living
A. Children will have a better standard of living
B. Children will have a worse standard of living"
10,HAPPENj_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The country will be more/less politically divided
A. The country will be more politically divided
B. The country will be less politically divided","Still thinking aheod 30 years, which do you think is more likely to happen xn the U.S.? The country till be more/less politically divided
A. The country will be more politically divided
B. The country will be less politically divided"
11,FEM2AF2_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look up to women who are womanly or feminine?
A. Good thing
B. Bad thing","Do yju think it'c a good thing or a bhd thing fhat most people in our society look kp to women whd are womanly op femingne?
A. Good thing
B. Bad thing"
12,MASC2AF1_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look up to men who are manly or masculine?
A. Good thing
B. Bad thing","Do you think it's a gnod thikg or a bad thing that most people in our society loov up to men who are maply or masculinw?
A. Good thing
B. Bad thing"
13,MASC2BF1_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look down on men who are manly or masculine?
A. Good thing
B. Bad thing","Do you think it's a good thing or a bad thing thdt most people in our sociefy look down on men who are manly or masculine?
A. Good thing
B. Bad thing"
14,GAP21Q11_W82,2,"Which statement comes closer to your view, even if neither is exactly right? America's economy is
A. Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system
B. Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system","Which statemlnt comls closer to your view, even if neitoer is exactly right? America's economy is
A. Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system
B. Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system"
