,key,num options,orig alpha,pos alpha
0,ELDCARE_W41,2,"Thinking ahead 30 years from now, which do you think is more likely to happen? Adults ages 65 and older will be
A. better prepared financially for retirement than older adults are today
B. less prepared financially for retirement than older adults today","Thniking ahaed 30 yaers from now, whcih do you tihnk is more lkiely to hapepn? Adutls ages 65 and oledr will be
A. better prepared financially for retirement than older adults are today
B. less prepared financially for retirement than older adults today"
1,HAPPENa_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. economy will be stronger/weaker
A. The U.S. economy will be stronger
B. The U.S. economy will be weaker","Stlil thikning aehad 30 yaers, whcih do you thnik is more lkiely to hapepn in the US..? The U.S. econmoy will be stronger/weaekr
A. The U.S. economy will be stronger
B. The U.S. economy will be weaker"
2,HAPPENb_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Health care will be more/less affordable
A. Health care will be more affordable
B. Health care will be less affordable","Stlil thinknig aehad 30 yeasr, wihch do you thnik is more liekly to hapepn in the US..? Haelth care will be mor/eless affodrable
A. Health care will be more affordable
B. Health care will be less affordable"
3,HAPPENc_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Race relations will improve/get worse
A. Race relations will improve
B. Race relations will get worse","Sitll thinikng ahaed 30 yaers, whcih do you tihnk is more likley to hpapen in the US..? Race relatinos will improveg/et wosre
A. Race relations will improve
B. Race relations will get worse"
4,HAPPENd_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. will be more/less important in the world
A. The U.S. will be more important in the world
B. The U.S. will be less important in the world","Stlil thinikng aehad 30 yeras, whcih do you tihnk is more liekly to happen in the U..S? The U.S. will be morel/ess impotrant in the wolrd
A. The U.S. will be more important in the world
B. The U.S. will be less important in the world"
5,HAPPENe_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The gap between the rich and the poor will grow/get smaller
A. The gap between the rich and the poor will grow
B. The gap between the rich and the poor will get smaller","Stlil thikning ahaed 30 yaers, wihch do you thnik is more lkiely to happen in the U..S? The gap bteween the rich and the poor will growg/et smalelr
A. The gap between the rich and the poor will grow
B. The gap between the rich and the poor will get smaller"
6,HAPPENf_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The public education system will improve/get worse
A. The public education system will improve
B. The public education system will get worse","Stlil thniking aehad 30 yeasr, whcih do you thnik is more likley to hpapen in the U..S? The pulbic educaiton sysetm will imporve/get wosre
A. The public education system will improve
B. The public education system will get worse"
7,HAPPENg_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Religion will become less/about as important
A. Religion will become less important
B. Religion will be about as important as it is now","Stlil thikning aehad 30 yeasr, whcih do you thnik is more liekly to hapepn in the US..? Reilgion will beocme les/sabout as importnat
A. Religion will become less important
B. Religion will be about as important as it is now"
8,HAPPENhF1_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? People 65 and older will have a better/worse standard of living
A. People 65 and older will have a better standard of living
B. People 65 and older will have a worse standard of living","Sitll thikning ahaed 30 yaers, whcih do you tihnk is more liekly to happen in the U..S? Peolpe 65 and oledr will have a bette/rworse stanadrd of liivng
A. People 65 and older will have a better standard of living
B. People 65 and older will have a worse standard of living"
9,HAPPENiF2_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Children will have a better/worse standard of living
A. Children will have a better standard of living
B. Children will have a worse standard of living","Stlil thinikng ahaed 30 yeasr, wihch do you thnik is more liekly to hpapen in the US..? Cihldren will have a better/wosre stanadrd of lviing
A. Children will have a better standard of living
B. Children will have a worse standard of living"
10,HAPPENj_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The country will be more/less politically divided
A. The country will be more politically divided
B. The country will be less politically divided","Stlil thinknig ahaed 30 yeasr, wihch do you tihnk is more likley to happen in the U..S? The counrty will be mroe/less poltiically diivded
A. The country will be more politically divided
B. The country will be less politically divided"
11,FEM2AF2_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look up to women who are womanly or feminine?
A. Good thing
B. Bad thing","Do you thnik it's a good tihng or a bad thnig that most pepole in our socitey look up to wmoen who are wmoanly or feminnie?
A. Good thing
B. Bad thing"
12,MASC2AF1_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look up to men who are manly or masculine?
A. Good thing
B. Bad thing","Do you thnik it's a good tihng or a bad tihng that most poeple in our soceity look up to men who are mnaly or masculien?
A. Good thing
B. Bad thing"
13,MASC2BF1_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look down on men who are manly or masculine?
A. Good thing
B. Bad thing","Do you tihnk it's a good thnig or a bad tihng that most pepole in our soceity look down on men who are mnaly or macsuline?
A. Good thing
B. Bad thing"
14,GAP21Q11_W82,2,"Which statement comes closer to your view, even if neither is exactly right? America's economy is
A. Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system
B. Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system","Whcih sattement coems cloesr to your veiw, even if niether is exatcly rigth? Ameriac's eocnomy is
A. Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system
B. Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system"
15,GAP21Q2_W82,2,"When children today in the US grow up, do you think they will be
A. Better off financially than their parents
B. Worse off financially than their parents","When chilrden tdoay in the US grow up, do you thnik they will be
A. Better off financially than their parents
B. Worse off financially than their parents"
16,GAP21Q20_W82,2,"Overall, do you think having people of many different backgrounds, such as different ethnic groups, religions and races, makes the US
A. A better place to live
B. A worse place to live","Ovreall, do you thnik havnig peolpe of many diffeernt backgorunds, such as dfiferent ehtnic gorups, rleigions and racse, mkaes the US
A. A better place to live
B. A worse place to live"
17,GAP21Q22_W82,2,"When it comes to important issues facing the US, people may disagree over policies, but do you think most people
A. Agree on the basic facts
B. Disagree on the basic facts","When it coems to improtant isuses facnig the US, poeple may disagere over poilcies, but do you tihnk most poeple
A. Agree on the basic facts
B. Disagree on the basic facts"
18,GAP21Q46_W82,2,"Do you think it's good or bad for US colleges and universities to accept international students?
A. Good
B. Bad","Do you tihnk it's good or bad for US colleegs and universiteis to accept internatinoal stduents?
A. Good
B. Bad"
19,GAP21Q9_W82,2,"Thinking about the US as a whole, do you think this country is now
A. More united than before the coronavirus outbreak
B. More divided than before the coronavirus outbreak","Thinknig aobut the US as a whoel, do you thnik this conutry is now
A. More united than before the coronavirus outbreak
B. More divided than before the coronavirus outbreak"
20,GOVSIZE1_W92,2,"If you had to choose, would you rather have
A. A smaller government providing fewer services
B. A bigger government providing more services","If you had to cohose, wolud you rahter have
A. A smaller government providing fewer services
B. A bigger government providing more services"
21,INSTN_BNKS_W92,2,"Are banks and other financial institutions having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Are bnaks and ohter fniancial isntitutions haivng a postiive or negatvie effcet on the way thigns are gonig in the cuontry thsee dyas?
A. Positive effect
B. Negative effect"
22,INSTN_CHR_W92,2,"Are churches and religious organizations having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Are chucrhes and relgiious orgainzations havnig a poistive or negaitve efefct on the way tihngs are giong in the counrty tehse dasy?
A. Positive effect
B. Negative effect"
23,INSTN_CLGS_W92,2,"Are colleges and universities having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Are collgees and universiites hvaing a positvie or negaitve effcet on the way thnigs are giong in the conutry tehse dyas?
A. Positive effect
B. Negative effect"
24,INSTN_K12_W92,2,"Are k-12 public schools having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Are k-12 pubilc schools hvaing a positvie or negtaive efefct on the way thigns are giong in the counrty tehse dyas?
A. Positive effect
B. Negative effect"
25,INSTN_LBRUN_W92,2,"Are labor unions having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Are lbaor uinons haivng a positvie or negtaive effcet on the way tihngs are giong in the conutry thsee dyas?
A. Positive effect
B. Negative effect"
26,INSTN_LGECRP_W92,2,"Are large corporations having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Are lagre corporatoins hvaing a psoitive or ngeative effcet on the way tihngs are gonig in the cuontry tehse dyas?
A. Positive effect
B. Negative effect"
27,INSTN_MSCENT_W92,2,"Is the entertainment industry having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Is the entertianment idnustry hvaing a postiive or negaitve efefct on the way thigns are giong in the cuontry tehse dasy?
A. Positive effect
B. Negative effect"
28,INSTN_TECHCMP_W92,2,"Are technology companies having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Are techonlogy compaines hvaing a postiive or neagtive effect on the way thnigs are giong in the conutry thsee dyas?
A. Positive effect
B. Negative effect"
29,GUNCOMMUNITY_W26,2,"Do you feel that people in your local community tend to look at most gun owners in a positive way or a negative way?
A. Positive way
B. Negative way","Do you feel that poeple in your loacl comumnity tend to look at most gun ownres in a postiive way or a negatvie way?
A. Positive way
B. Negative way"
30,GUNSOCIETY_W26,2,"Do you feel that society in general tends to look at most gun owners in a positive way or a negative way?
A. Positive way
B. Negative way","Do you feel that scoiety in gneeral tneds to look at most gun ownres in a poistive way or a neagtive way?
A. Positive way
B. Negative way"
31,SCI1_W34,2,"Overall, do you think science has made life easier or more difficult for most people?
A. Easier
B. More difficult","Ovearll, do you tihnk sicence has made life eaiser or more diffiuclt for most poeple?
A. Easier
B. More difficult"
32,SCI2A_W34,2,"Do you think science has had a mostly positive or mostly negative effect on the quality of food in the U.S.?
A. Mostly positive
B. Mostly negative","Do you tihnk scinece has had a msotly posiitve or moslty negatvie effcet on the qulaity of food in the U..S?
A. Mostly positive
B. Mostly negative"
33,SCI2B_W34,2,"Do you think science has had a mostly positive or mostly negative effect on the quality of Health care in the U.S.?
A. Mostly positive
B. Mostly negative","Do you thnik scinece has had a moslty psoitive or motsly neagtive effect on the quailty of Helath care in the U..S?
A. Mostly positive
B. Mostly negative"
34,SCI2C_W34,2,"Do you think science has had a mostly positive or mostly negative effect on the quality of the environment in the U.S.?
A. Mostly positive
B. Mostly negative","Do you tihnk scinece has had a msotly posiitve or moslty neagtive efefct on the quailty of the environmnet in the U..S?
A. Mostly positive
B. Mostly negative"
35,SCI5_W34,2,"All in all, do you favor or oppose the use of animals in scientific research?
A. Favor
B. Oppose","All in all, do you faovr or opopse the use of ainmals in scientiifc rseearch?
A. Favor
B. Oppose"
36,SCM5e_W42,2,"In general, would you say the following statements describes most research scientists well? Don't pay attention to the moral values of society
A. Describes research scientists well
B. Does not describe research scientists well","In geenral, wuold you say the fololwing staetments decsribes most rseearch scientitss well? Dno't pay atetntion to the mroal vlaues of socitey
A. Describes research scientists well
B. Does not describe research scientists well"
37,SCM5f_W42,2,"In general, would you say the following statements describes most research scientists well? Honest
A. Describes research scientists well
B. Does not describe research scientists well","In generla, wolud you say the following statmeents descirbes most reseacrh scientsits wlel? Hnoest
A. Describes research scientists well
B. Does not describe research scientists well"
