,key,num options,orig alpha,pos alpha
0,ELDCARE_W41,2,"Thinking ahead 30 years from now, which do you think is more likely to happen? Adults ages 65 and older will be
A. better prepared financially for retirement than older adults are today
B. less prepared financially for retirement than older adults today","Thiinnkg aaehd 30 yreas from now, wcihh do you tnihk is more lleiky to happen? Audlts ages 65 and oeldr will be
A. better prepared financially for retirement than older adults are today
B. less prepared financially for retirement than older adults today"
1,HAPPENa_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. economy will be stronger/weaker
A. The U.S. economy will be stronger
B. The U.S. economy will be weaker","Stlil tknnihig ahead 30 years, whcih do you tnihk is more lilkey to hppaen in the U.S.? The U.S. ecomony will be stronger/weaker
A. The U.S. economy will be stronger
B. The U.S. economy will be weaker"
2,HAPPENb_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Health care will be more/less affordable
A. Health care will be more affordable
B. Health care will be less affordable","Sitll tihnnikg aeahd 30 years, wihch do you tnihk is more lilkey to haeppn in the U.S.? Htlaeh care will be more/less arfalofbde
A. Health care will be more affordable
B. Health care will be less affordable"
3,HAPPENc_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Race relations will improve/get worse
A. Race relations will improve
B. Race relations will get worse","Sitll tkinhing ahead 30 years, wihch do you tinhk is more lileky to hpaepn in the U.S.? Race reoiatnls will improve/get worse
A. Race relations will improve
B. Race relations will get worse"
4,HAPPENd_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. will be more/less important in the world
A. The U.S. will be more important in the world
B. The U.S. will be less important in the world","Still thiiknng aaehd 30 years, whcih do you tnihk is more llkiey to heppan in the U.S.? The U.S. will be more/less inaptomrt in the world
A. The U.S. will be more important in the world
B. The U.S. will be less important in the world"
5,HAPPENe_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The gap between the rich and the poor will grow/get smaller
A. The gap between the rich and the poor will grow
B. The gap between the rich and the poor will get smaller","Sltil tiinknhg aahed 30 years, wichh do you tihnk is more lilkey to hpepan in the U.S.? The gap bteween the rich and the poor will grow/get slamelr
A. The gap between the rich and the poor will grow
B. The gap between the rich and the poor will get smaller"
6,HAPPENf_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The public education system will improve/get worse
A. The public education system will improve
B. The public education system will get worse","Still tininkhg aeahd 30 years, whcih do you tihnk is more lkliey to happen in the U.S.? The piublc ecdtoiaun setsym will improve/get wrsoe
A. The public education system will improve
B. The public education system will get worse"
7,HAPPENg_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Religion will become less/about as important
A. Religion will become less important
B. Religion will be about as important as it is now","Sitll tihiknng ahead 30 years, wihch do you tinhk is more lekliy to hppean in the U.S.? Relgoiin will bceome less/about as impatornt
A. Religion will become less important
B. Religion will be about as important as it is now"
8,HAPPENhF1_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? People 65 and older will have a better/worse standard of living
A. People 65 and older will have a better standard of living
B. People 65 and older will have a worse standard of living","Still thinnikg ahaed 30 years, wcihh do you tihnk is more lilkey to hppean in the U.S.? Polpee 65 and odler will have a better/worse snrdaatd of liinvg
A. People 65 and older will have a better standard of living
B. People 65 and older will have a worse standard of living"
9,HAPPENiF2_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Children will have a better/worse standard of living
A. Children will have a better standard of living
B. Children will have a worse standard of living","Slitl tnnikhig aeahd 30 years, wcihh do you think is more lielky to hpapen in the U.S.? Cdhelirn will have a better/worse satrnadd of lnviig
A. Children will have a better standard of living
B. Children will have a worse standard of living"
10,HAPPENj_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The country will be more/less politically divided
A. The country will be more politically divided
B. The country will be less politically divided","Stlil tkinnihg ahead 30 years, wcihh do you tihnk is more leliky to heappn in the U.S.? The ctrnuoy will be more/less ptclaoliliy ddvieid
A. The country will be more politically divided
B. The country will be less politically divided"
11,FEM2AF2_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look up to women who are womanly or feminine?
A. Good thing
B. Bad thing","Do you thnik it's a good thing or a bad tihng that most poplee in our sicotey look up to wemon who are woalnmy or feminine?
A. Good thing
B. Bad thing"
12,MASC2AF1_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look up to men who are manly or masculine?
A. Good thing
B. Bad thing","Do you tnihk it's a good tnihg or a bad tnhig that most pelpoe in our sitecoy look up to men who are malny or masculine?
A. Good thing
B. Bad thing"
13,MASC2BF1_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look down on men who are manly or masculine?
A. Good thing
B. Bad thing","Do you tnihk it's a good tinhg or a bad thnig that most ppeloe in our seiocty look down on men who are mnlay or masculine?
A. Good thing
B. Bad thing"
14,GAP21Q11_W82,2,"Which statement comes closer to your view, even if neither is exactly right? America's economy is
A. Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system
B. Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system","Wcihh stentaemt cemos celosr to your view, even if ntiheer is ectxlay right? America's economy is
A. Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system
B. Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system"
15,GAP21Q2_W82,2,"When children today in the US grow up, do you think they will be
A. Better off financially than their parents
B. Worse off financially than their parents","When cliedhrn tdaoy in the US grow up, do you thnik they will be
A. Better off financially than their parents
B. Worse off financially than their parents"
16,GAP21Q20_W82,2,"Overall, do you think having people of many different backgrounds, such as different ethnic groups, religions and races, makes the US
A. A better place to live
B. A worse place to live","Overall, do you thnik haivng poeple of many dfnierfet backgrounds, such as drefefnit ehtinc groups, rioliegns and races, mekas the US
A. A better place to live
B. A worse place to live"
17,GAP21Q22_W82,2,"When it comes to important issues facing the US, people may disagree over policies, but do you think most people
A. Agree on the basic facts
B. Disagree on the basic facts","When it cmoes to itampnrot issues fancig the US, ppeloe may digarsee over policies, but do you tinhk most plepoe
A. Agree on the basic facts
B. Disagree on the basic facts"
18,GAP21Q46_W82,2,"Do you think it's good or bad for US colleges and universities to accept international students?
A. Good
B. Bad","Do you think it's good or bad for US cleeglos and urievnetsiis to acecpt inoertiannatl students?
A. Good
B. Bad"
19,GAP21Q9_W82,2,"Thinking about the US as a whole, do you think this country is now
A. More united than before the coronavirus outbreak
B. More divided than before the coronavirus outbreak","Thniking aubot the US as a whole, do you thnik this cuotrny is now
A. More united than before the coronavirus outbreak
B. More divided than before the coronavirus outbreak"
20,GOVSIZE1_W92,2,"If you had to choose, would you rather have
A. A smaller government providing fewer services
B. A bigger government providing more services","If you had to choose, wloud you rahetr have
A. A smaller government providing fewer services
B. A bigger government providing more services"
21,INSTN_BNKS_W92,2,"Are banks and other financial institutions having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Are bnkas and ohter fnaiiancl istuioitnnts having a pisoitve or ngvitaee efefct on the way things are gnoig in the cnutroy thsee days?
A. Positive effect
B. Negative effect"
22,INSTN_CHR_W92,2,"Are churches and religious organizations having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Are ceruhchs and riogeilus otrnizagaions hvnaig a ptivsoie or ntaveige efcfet on the way tghnis are gnoig in the curotny these days?
A. Positive effect
B. Negative effect"
23,INSTN_CLGS_W92,2,"Are colleges and universities having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Are ceoglels and uiieitrnsevs hivang a psotivie or nvtegiae eefcft on the way tnihgs are giong in the cotnury tehse days?
A. Positive effect
B. Negative effect"
24,INSTN_K12_W92,2,"Are k-12 public schools having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Are k-12 pluibc soolhcs hanvig a ptioivse or ngvitaee efefct on the way tihngs are going in the cornuty tehse days?
A. Positive effect
B. Negative effect"
