,key,num options,orig alpha,forbid alpha
0,GAP21Q46_W82,2,"Do you think it's good for US colleges and universities to accept international students?
A. Yes
B. No","Do you think it's good for US clegelos and ueitiisenrvs to apccet iottaneanrnil students?
A. Yes
B. No"
1,RACESURV15b_W43,2,"Since President Trump was elected, do you think it has become more acceptable for people to express racist or racially insensitive views, or is it about as acceptable as it was before?
A. Yes
B. No","Since Psdeenrit Trmup was elected, do you tnhik it has bmocee more aalbpectce for polpee to exserps ricast or rlciaaly itsviinnsee views, or is it aubot as aptccaeble as it was before?
A. Yes
B. No"
2,RACESURV47a_W43,2,"For each, please indicate if you, personally, think it is acceptable. A sports team using Native American tribal names or images as mascots
A. Yes
B. No","For each, pseale iticadne if you, personally, think it is acceptable. A soptrs team unisg Nvatie Amciaren tarbil names or iemgas as mcstaos
A. Yes
B. No"
3,RACESURV47b_W43,2,"For each, please indicate if you, personally, think it is acceptable. A black person using the n-word
A. Yes
B. No","For each, pelase idcantie if you, personally, tihnk it is acceptable. A bcalk perosn unsig the n-word
A. Yes
B. No"
4,RACESURV47c_W43,2,"For each, please indicate if you, personally, think it is acceptable. A white person using the n-word
A. Yes
B. No","For each, psleae iacidnte if you, personally, tinhk it is acceptable. A whtie pseorn unsig the n-word
A. Yes
B. No"
5,RACESURV47d_W43,2,"For each, please indicate if you, personally, think it is acceptable. Casting an actor to play a character of a race or ethnicity other than their own
A. Yes
B. No","For each, palese iacditne if you, personally, tnihk it is acceptable. Ciastng an atocr to play a cerhactar of a race or ehitnicty other than teihr own
A. Yes
B. No"
6,RACESURV47e_W43,2,"For each, please indicate if you, personally, think it is acceptable. A person wearing traditional dress from a country or culture other than their own as part of a Halloween costume
A. Yes
B. No","For each, plseae ictiadne if you, personally, think it is acceptable. A peorsn wnaeirg tidnitaoarl dsres from a cuornty or clutrue other than thier own as part of a Hwoaeelln csutmoe
A. Yes
B. No"
7,RACESURV47f_W43,2,"For each, please indicate if you, personally, think it is acceptable. A white person using makeup to darken their skin so they appear to be a different race as part of a Halloween costume
A. Yes
B. No","For each, plaese idacntie if you, personally, tihnk it is acceptable. A white pseorn uinsg meaukp to dkearn tiher skin so they aepapr to be a dirfnefet race as part of a Hlwoealen cmstoue
A. Yes
B. No"
8,FAMSURV3_W50,2,"Do you think it is ever acceptable for an unmarried couple to live together?
A. Yes
B. No","Do you tihnk it is ever alpcetabce for an uinerramd clpuoe to live together?
A. Yes
B. No"
9,FAMSURV6_W50,2,"Do you think unmarried couples should be allowed to enter into legal agreements that would give them the same rights as married couples when it comes to things like health insurance, inheritance or tax benefits?
A. Yes
B. No","Do you tnihk uaerminrd couelps sohuld be alwleod to enetr into lgael agnemerets that wulod give them the same rtighs as meirard ceoupls when it cmeos to tghnis like haleth insurance, ihtaeirnnce or tax benefits?
A. Yes
B. No"
10,DRONE4A_W27,2,"Do you think that private citizens should be allowed to pilot drones in the following areas? Near people's homes
A. Yes
B. No","Do you thnik that pvarite citziens sluhod be aewolld to piolt derons in the flnowolig areas? Near people's heoms
A. Yes
B. No"
11,DRONE4B_W27,2,"Do you think that private citizens should be allowed to pilot drones in the following areas? Near crime scenes or traffic accidents
A. Yes
B. No","Do you tnihk that pvairte cnztiies shluod be aewlold to ploit drones in the flliwonog areas? Near crmie seencs or tfrifac atcdcneis
A. Yes
B. No"
12,DRONE4C_W27,2,"Do you think that private citizens should be allowed to pilot drones in the following areas? On beaches
A. Yes
B. No","Do you tihnk that pitrvae cteinzis sulhod be alewold to poilt denors in the flnwlooig areas? On becaehs
A. Yes
B. No"
13,DRONE4D_W27,2,"Do you think that private citizens should or should not be allowed to pilot drones in the following areas? In public parks
A. Yes
B. No","Do you tihnk that patirve ctenizis suhold or souhld not be aelwlod to piolt dnroes in the fiwnololg areas? In pbluic pkars
A. Yes
B. No"
14,DRONE4E_W27,2,"Do you think that private citizens should be allowed to pilot drones in the following areas? At events, like concerts or rallies
A. Yes
B. No","Do you tnhik that ptirave cziintes sluohd be alwelod to polit dornes in the fiwllonog areas? At events, like cntrecos or rilelas
A. Yes
B. No"
15,DATAUSEa_W49,2,"Do you think the following uses of data/information are acceptable? The government collecting data about all Americans to assess who might be a potential terrorist threat
A. Yes
B. No","Do you tnhik the fwolnliog uses of data/information are acceptable? The grvnenoemt cleclinotg data aoubt all Amrneacis to assess who mghit be a pteiatnol tosirrret trhaet
A. Yes
B. No"
16,DATAUSEb_W49,2,"Do you think the following uses of data/information are acceptable? Poorly performing schools sharing data about their students with a nonprofit group seeking to help improve educational outcomes
A. Yes
B. No","Do you tnihk the fowllniog uses of data/information are acceptable? Proloy pomnferrig slhcoos sihrang data about thier setutdns with a niopofnrt group sikeneg to help ipomvre eaitcuondal ooumctes
A. Yes
B. No"
17,DATAUSEc_W49,2,"Do you think the following uses of data/information are acceptable? DNA testing companies sharing their customers' genetic data with law enforcement agencies in order to help solve crimes
A. Yes
B. No","Do you tnhik the flionlwog uses of data/information are acceptable? DNA tintseg coimenaps srhinag tiher customers' gieetnc data with law eeeronmcnft aeicengs in order to help svole cirems
A. Yes
B. No"
18,DATAUSEd_W49,2,"Do you think the following uses of data/information are acceptable? Makers of a fitness tracking app sharing their users' data with medical researchers seeking to better understand the link between exercise and heart disease
A. Yes
B. No","Do you think the flnoilowg uses of data/information are acceptable? Mkeras of a feitsns tcnirkag app sahnirg tiher users' data with mcdaiel rahsrreeces sienekg to beettr unnasrdted the link beetwen erxeisce and hreat dsiease
A. Yes
B. No"
19,DATAUSEe_W49,2,"Do you think the following uses of data/information are acceptable? A social media company monitoring its users' posts for signs of depression, so they can identify people who are at risk of self-harm and connect them to counsel
A. Yes
B. No","Do you tihnk the flnwoilog uses of data/information are acceptable? A soaicl meida cpamony miononrtig its users' psots for snigs of depression, so they can itdniefy ppoele who are at risk of self-harm and cnonect them to cnosuel
A. Yes
B. No"
20,DATAUSEf_W49,2,"Do you think the following uses of data/information are acceptable? Makers of smart speakers sharing audio recordings of their customers with law enforcement to help with criminal investigations
A. Yes
B. No","Do you tnhik the fniololwg uses of data/information are acceptable? Makers of srmat spkeaers shnarig aiduo rgdrceonis of teihr comstuers with law eomnfcenert to help with cainmril ivitoeisnngtas
A. Yes
B. No"
21,FACE4a_W49,2,"In your opinion, is it acceptable to use facial recognition technology in the following situations? Law enforcement agencies assessing potential security threats in public spaces
A. Yes
B. No","In your opinion, is it aaccltebpe to use fcaail roietogincn tnogolchey in the fowlnloig situations? Law ecmrfnoenet aenecigs asnissesg ponetiatl sciruety tethars in plubic scepas
A. Yes
B. No"
22,FACE4b_W49,2,"In your opinion, is it acceptable to use facial recognition technology in the following situations? Companies automatically tracking the attendance of their employees
A. Yes
B. No","In your opinion, is it abtleaccpe to use facial rgctnoeoiin tgoonlhecy in the flwlioong situations? Capeomins aacaiomluttly tiakrcng the anetacntde of tiher elmoyeeps
A. Yes
B. No"
23,FACE4c_W49,2,"In your opinion, is it acceptable to use facial recognition technology in the following situations? Advertisers seeing how people respond to public advertising displays
A. Yes
B. No","In your opinion, is it abepccatle to use ficaal ronoiiectgn tnogohcley in the fwniloolg situations? Arsdieervts seieng how pepole ropesnd to pulbic aveisnidtrg dliapsys
A. Yes
B. No"
24,FACE4d_W49,2,"In your opinion, is it acceptable to use facial recognition technology in the following situations? Apartment building landlords tracking who enters or leaves their buildings
A. Yes
B. No","In your opinion, is it accteaplbe to use fcaial rtcogoienin tcegonlhoy in the fiolwlnog situations? Aeprtnamt binlidug ldandrols trainckg who enrets or leveas their buigndlis
A. Yes
B. No"
25,ANES1,2,"Do you think homosexuals should be allowed to serve in the United States Armed Forces or don't you think so?
A. Yes
B. No","Do you tihnk holoueaxmss suhold be alelowd to sevre in the Utnied Steats Aermd Foercs or don't you tinhk so?
A. Yes
B. No"
26,ANES2,2,"Some people think it is all right for the public schools to start each day with a prayer.  Others feel that religion does not belong in the public schools but should be taken care of by the family and the church. Do you think schools should be allowed to start with prayer?
A. Yes
B. No","Some pploee think it is all rgiht for the pluibc slocohs to satrt each day with a prayer. Oherts feel that rgloeiin does not bnelog in the puiblc shocols but souhld be tkaen care of by the flmaiy and the church. Do you tnhik schools slhoud be aoewlld to start with prayer?
A. Yes
B. No"
27,COLSPEECH_W36,2,"Thinking again about colleges and universities which of the following do you think should be more important on college campuses these days to allow people to speak their minds freely, even if some students find their views upsetting or offensive?
A. Yes
B. No","Tihiknng aagin aubot celgleos and uiieseivnrts wichh of the fnoilowlg do you tihnk souhld be more iopmratnt on cgolele ceuapsms tshee days to aollw polpee to seapk their mndis freely, even if some snteduts find thier views uteinptsg or offensive?
A. Yes
B. No"
28,ABORTIONALLOW_W32,2,"For each, please indicate if you, personally, think it is acceptable. There are some situations in which abortion should be allowed.
A. Yes
B. No","For each, please iadnicte if you, personally, thnik it is acceptable. Trehe are some sunttoaiis in wchih aorbiotn soluhd be allowed.
A. Yes
B. No"
29,MED4A_W34,2,"Do you think changing a baby's genetic characteristics to make the baby more intelligent is an appropriate use of medical technology ?
A. Yes
B. No","Do you tinhk cinghang a baby's gtineec ctcitirasrcahes to make the baby more inleetngilt is an aiotarpprpe use of mceadil toognhcely ?
A. Yes
B. No"
30,MED4B_W34,2,"Do you think changing a baby's genetic characteristics to treat a serious disease or condition the baby would have at birth is an appropriate use of medical technology ?
A. Yes
B. No","Do you tihnk cinngahg a baby's gnietec ccaseahricitrts to treat a soierus dsisaee or ciidotonn the baby would have at brtih is an aroapritppe use of medaicl thocgonely ?
A. Yes
B. No"
31,MED4C_W34,2,"Do you think changing a baby's genetic characteristics to reduce the risk of a serious disease or condition that could occur over the course of his or her lifetime is an appropriate use of medical technology ?
A. Yes
B. No","Do you think cnhaging a baby's geentic ciciecthaarsrts to recdue the risk of a seuiors diasese or ctodnioin that culod ocucr over the corsue of his or her lfmieite is an apiraprptoe use of macedil tgonolehcy ?
A. Yes
B. No"
32,INEQ2_W54,2,"Do you think that some amount of economic inequality is acceptable?
A. Yes
B. No","Do you think that some amunot of eniocomc iaientuqly is acceptable?
A. Yes
B. No"
33,SUPERPWR_W92,2,"In the future, do you think U.S. policies should try to keep it so America is the only military superpower?
A. Yes
B. No","In the future, do you tnhik U.S. peicoils shuold try to keep it so Amiecra is the only mlitariy superpower?
A. Yes
B. No"
34,WATCHDOG_1_W45,2,"Do you think that criticism of leaders keeps political leaders from doing things that should not be done? 
A. Yes
B. No","Do you tinhk that cstciiirm of ldeeras kepes palctiiol leredas from dnoig tihgns that suohld not be done?
A. Yes
B. No"
35,INEQ10_W54,2,"In order to address economic inequality in this country, do you think the government raise taxes on the wealthiest Americans?
A. Yes
B. No","In oerdr to adsdres emocnioc iunliatqey in this country, do you tnihk the gneenmovrt risae taexs on the wlhitseeat Americans?
A. Yes
B. No"
36,INEQ11_W54,2,"In order to address economic inequality in this country, do you think the government raise taxes on people like you?
A. Yes
B. No","In oerdr to adresds ecmonoic itlaqenuiy in this country, do you think the genemvornt rsaie taxes on pleope like you?
A. Yes
B. No"
37,POLICY1_W42,2,"In your opinion, is it acceptable or unacceptable for scientists to take an active role in public policy debates about scientific issues?
A. Yes
B. No","In your opinion, is it abcapltece or ucpabntclaee for sttenicsis to take an acivte role in pbiluc picoly dbtaees about sfieniitcc issues?
A. Yes
B. No"
