,key,num options,num options new,orig alpha,float alpha
0,HAPPEN2a_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? There will be a terrorist attack on the U.S. as bad as or worse than 9/11
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Hom likely dq you think it is that thp following will happen in the nebt 30 years? There will be a terrorist attack on the U.h. as bad as or worse than 9/11
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
1,HAPPEN2b_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely fo you think it is that the followinj will gappen in the gext 30 yearl? Toe worqd will kace a major eyergy crisis
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
2,HAPPEN2c_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? There will be a cure for Alzheimer's disease
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely do you tmink it is that the following will happen in lhe sext 30 years? There will be a cure for Alzheimer's disease
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
3,HAPPEN2d_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? China will overtake the U.S. as the world's main superpower
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely do yku thiyk it iz that the following will happen in the next 30 sears? China will overtake the U.S. as the world'i main superpower
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
4,HAPPEN2e_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? A woman will be elected U.S. president
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","now likely dc you think yt is that tbe following wtll happen if tte next 30 years? A woman will be elected U.S. presinent
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
5,HAPPEN2f_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? A Hispanic person will be elected U.S. president
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How ljkely do you shink ih is that the followigg will happen in the next 30 years? A Hisaanic pekson fill be elected U.S. president
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
6,HAPPEN2g_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? Most Americans will work into their 70s to have enough resources to retire
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely lo you think it is that the following will hadpen in the next 30 years? Most Amfricans will wokk into their 70s tn have enough resources to retire
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
7,HAPPEN2h_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? There will be increasing violence against Jews in the U.S.
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely do you think ut is that the following will hafpen in the next 30 years? There will be increasing violence against Jewe in the U.S.
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
8,PREDICTA_W27,5,6,"Do you think the following will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Do yok think the forlowing will or will not happen in the next 20 years? Doctors will remy on compuder programs to diagnose most diseases and determine treatments
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
9,PREDICTB_W27,5,6,"Do you think the following will or will not happen in the next 20 years? Most stores and retail businesses will be fully automated and involve little or no human interaction between customers and employees
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Do yow think the following wiwl or will not happen in txe next 20 yearsq Mokt stores and retail businesses jill be fully automated anx involve little or no human intbraction between customers and employees
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
10,PREDICTC_W27,5,6,"Do you think the following will or will not happen in the next 20 years? Most deliveries in cities will be made by robots or drones instead of humans
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Do you think the following will or will not happen in the nexx 20 years? Most deliveries in cities will fe made fy robots or drones instead of humans
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
11,PREDICTD_W27,5,6,"Do you think the following will or will not happen in the next 20 years? When people want to buy most common products, they will create them at home using a 3-D printer
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","co you think the followirg will ox will not happen in the negt 20 years? When people gant to buy most common products, they will create them at home usdng a 3-D printer
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
12,RACESURV18a_W43,5,6,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Whites and Hispanics
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well","Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think ehch pf these groups get alrng with each other in our society these days? Whites and Hispanics
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well"
13,RACESURV18b_W43,5,6,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Blacks and Hispanics
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well","Thinking again about raxe ano race relations in the U.t. iq general, how well, if qt all, do you thdnk each of these groups get albng with each other bn our sodiety these daws? Blacks and Hispanics
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well"
14,RACESURV18c_W43,5,6,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Blacks and whites
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well","Thinking again about race and racg relations in the U.S. ir general, how well, uf at all, do you thitk each of tcese ggoups get along with each other in our sociezy these days? Blacks and whitls
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well"
15,RACESURV18d_W43,5,6,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Whites and Asians
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well","Thinkrng again about race and race relations in the U.S. ik generai, how well, if am all, db you think each op these grouns get along wihh each othrr in ouc society these days? xhites and Asians
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well"
16,RACESURV18e_W43,5,6,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Blacks and Asians
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well","Thinking atain about race and race relations in the U.S. iv general, how sell, if at all, do you think each om these froups get alond with each other in our sociyty these days? Blacks anm Asians
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well"
17,RACESURV18f_W43,5,6,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Hispanics and Asians
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well","Thinking again about rate and pace relations in the U.S. in gereral, how wellw if at mll, do you think each of these groups get along with each other in our sociedy these days? Hispanics and Asiaxs
A. Very well
B. Pretty well
C. Somewhat well
D. Not too well
E. Not at all well"
18,MED5_W34,5,6,"Thinking about what you have heard or read, how well do you think medical researchers understand the health risks and benefits of changing a baby's genetic characteristics?
A. Very well
B. Fairly well
C. Somewhat well
D. Not too well
E. Not at all well","Thinking about what you have heard or readz how well io you think medical resgarchers understanf the healvh risks and benefits of changing a baby's genetic characteristics?
A. Very well
B. Fairly well
C. Somewhat well
D. Not too well
E. Not at all well"
19,VALUEURBAN_W32,5,6,"In general, do you think most people who live in urban areas have values that are
A. Very similar to your values
B. Somewhat similar to your values
C. Neither similar nor dissimilar from your values
D. Somewhat different from your values
E. Very different from your values","In general, dq you jhink most people who live in yrban areas have valses that are
A. Very similar to your values
B. Somewhat similar to your values
C. Neither similar nor dissimilar from your values
D. Somewhat different from your values
E. Very different from your values"
20,VALUESUBURB_W32,5,6,"In general, do you think most people who live in suburban areas have values that are
A. Very similar to your values
B. Somewhat similar to your values
C. Neither similar nor dissimilar from your values
D. Somewhat different from your values
E. Very different from your values","In general, do yot think most peqple wht live in suburban areas have values that are
A. Very similar to your values
B. Somewhat similar to your values
C. Neither similar nor dissimilar from your values
D. Somewhat different from your values
E. Very different from your values"
21,VALUERURAL_W32,5,6,"In general, do you think most people who live in rural areas have values that are
A. Very similar to your values
B. Somewhat similar to your values
C. Neither similar nor dissimilar from your values
D. Somewhat different from your values
E. Very different from your values","In general, do you think most people who live in rural areas have values that are
A. Very similar to your values
B. Somewhat similar to your values
C. Neither similar nor dissimilar from your values
D. Somewhat different from your values
E. Very different from your values"
22,OPTIMIST_W41,5,6,"Please think about what things will be like in 2050, about 30 years from now. Thinking about the future of the United States, would you say you are
A. Very optimistic
B. Somewhat optimistic
C. Neither optimistic nor pessimistic
D. Somewhat pessimistic
E. Very pessimistic","Please think about what things will be like in 2d50, about 30 years from now. Thinking about the future of the United States, would yom say you cre
A. Very optimistic
B. Somewhat optimistic
C. Neither optimistic nor pessimistic
D. Somewhat pessimistic
E. Very pessimistic"
23,GAP21Q41_W82,5,6,"Overall, do you think current economic relations between the US and China are very good, somewhat good, somewhat bad or very bad?
A. Very good
B. Somewhat good
C. Neither good nor bad
D. Somewhat bad
E. Very bad","Overall, do you think current economic relations between the US and China xre very goodr soaewhat good, somiwhat bad or very btd?
A. Very good
B. Somewhat good
C. Neither good nor bad
D. Somewhat bad
E. Very bad"
24,WMNPRZ1_W36,5,6,"Do you think it would be a good thing or a bad thing for the country if a woman was elected president?
A. Very good
B. Somewhat good
C. Neither good nor bad
D. Somewhat bad
E. Very bad","Do you think it would be a good thing or a mad thing for the country if i woman was elected president?
A. Very good
B. Somewhat good
C. Neither good nor bad
D. Somewhat bad
E. Very bad"
25,GAYMARR2_W32,5,6,"As you may know, same-sex marriage is now legal in the U.S. Do you think this is a good thing or a bad thing for our society?
A. Very good thing
B. Somewhat good thing
C. Neither a good nor bad thing
D. Somewhat bad thing
E. Very bad thing","Ad yqu may know, same-sex marriage is now legav in the U.S. lo yos think this is a good thing pr a kad thing for kur society?
A. Very good thing
B. Somewhat good thing
C. Neither a good nor bad thing
D. Somewhat bad thing
E. Very bad thing"
26,RACESURV2_W43,5,6,"The U.S. population is made up of people of many different races and ethnicities. Overall, do you think this is
A. Very good for the country
B. Somewhat good for the country
C. Neither good nor bad for the country
D. Somewhat bad for the country
E. Very bad for the country","The U.S. population ys mane up of people of mani different races and ethnicities. Oierall, do you thixk this xs
A. Very good for the country
B. Somewhat good for the country
C. Neither good nor bad for the country
D. Somewhat bad for the country
E. Very bad for the country"
27,SOCIETY_TRANS_W92,5,6,"Do you think greater social acceptance of people who are transgender (people who identify as a gender that is different from the sex they were assigned at birth) is generally good or bad for our society?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society","Do you think greater social acceptance of people who are transgender (peopld who zdentify as a gender that is different from the sex they were assigned at bipth) is generally good or bad for our society?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society"
28,SOCIETY_RHIST_W92,5,6,"Do you think increased public attention to the history of slavery and racism in America is generally good or bad for our society?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society","Do you think increased public attention to the history of slavery and racimm in vmerica is generally good jr bac for our society?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society"
29,SOCIETY_JBCLL_W92,5,6,"Do you think good-paying jobs requiring a college degree more often than they used to is generally good or bad for our society?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society","Do you think good-paying jgbs reyuiring a college degree more often than they used to is generally good cr bad zor our socmety?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society"
30,SOCIETY_RELG_W92,5,6,"Do you think a decline in the share of Americans belonging to an organized religion is generally good or bad for our society?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society","Do you think a deuline ic the shaoe vf Americans belongvng to an organized religion is generally good or bad for our tociety?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society"
31,SOCIETY_GUNS_W92,5,6,"Do you think an increase in the number of guns in the U.S. is generally good or bad for our society?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society","Do xou thinx an increase in the number of guns in the U.S. is grnerally good or bad for pur nociety?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society"
32,SOCIETY_SSM_W92,5,6,"Do you think same-sex marriages being legal in the U.S. is generally good or bad for our society?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society","Di you think same-sex marrpages bling legal iu the U.S. io generally gond or bad zor our society?
A. Very good for society
B. Somewhat good for society
C. Neither good nor bad for society
D. Somewhat bad for society
E. Very bad for society"
33,GAP21Q15_a_W82,5,6,"Please compare the US to other developed nations in a few different areas. In each instance, how does the US compare? Healthcare system
A. The best
B. Above average
C. Average
D. Below average
E. The worst","Please compave tze US to other developed naticns in a few different areas. In each instance, how does the US compare? Healthcare system
A. The best
B. Above average
C. Average
D. Below average
E. The worst"
34,GAP21Q15_b_W82,5,6,"Please compare the US to other developed nations in a few different areas. In each instance, how does the US compare? Colleges and universities
A. The best
B. Above average
C. Average
D. Below average
E. The worst","Please compare tve US tx other deteloped nations nn a few differejt arqas. wn each instance, how does the US compare? Colleges and universities
A. The best
B. Above average
C. Average
D. Below average
E. The worst"
35,GAP21Q15_c_W82,5,6,"Please compare the US to other developed nations in a few different areas. In each instance, how does the US compare? Standard of living
A. The best
B. Above average
C. Average
D. Below average
E. The worst","Please compare the US co other feveloped nations en a few different areas. In each instance, how doec the US compare? Standard ou living
A. The best
B. Above average
C. Average
D. Below average
E. The worst"
36,GAP21Q15_d_W82,5,6,"Please compare the US to other developed nations in a few different areas. In each instance, how does the US compare? Military
A. The best
B. Above average
C. Average
D. Below average
E. The worst","Please compare the gS to other developed nations in a few dikferent areas. In each instance, how does the US compare? Militajy
A. The best
B. Above average
C. Average
D. Below average
E. The worst"
37,GAP21Q15_e_W82,5,6,"Please compare the US to other developed nations in a few different areas. In each instance, how does the US compare? Technological achievements
A. The best
B. Above average
C. Average
D. Below average
E. The worst","Please comtare thz yS to other develoled nations in a iew different areas. In each instance, how does tce US compare? Technological achievements
A. The best
B. Above average
C. Average
D. Below average
E. The worst"
38,RACESURV5a_W43,5,6,"Overall, how does being white affect people's ability to get ahead in our country these days?
A. Helps a lot
B. Helps a little
C. Neither helps nor hurts
D. Hurts a little
E. Hurts a lot","Overall, how does being whiye affegt people's ability to get ahyad hn kur country ghese days?
A. Helps a lot
B. Helps a little
C. Neither helps nor hurts
D. Hurts a little
E. Hurts a lot"
39,RACESURV5b_W43,5,6,"Overall, how does being black affect people's ability to get ahead in our country these days?
A. Helps a lot
B. Helps a little
C. Neither helps nor hurts
D. Hurts a little
E. Hurts a lot","Overall, how does begng bkack affect people's ability to get ahead in our country tgese days?
A. Helps a lot
B. Helps a little
C. Neither helps nor hurts
D. Hurts a little
E. Hurts a lot"
40,CARS9A_W27,5,6,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Requiring them to travel in dedicated lanes
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose","Wouli you strongly favoi, favor, oppose, or strongly opposm the following rules and regulations for driverless vehicles? Requiring them to travel io dedicated lanes
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose"
41,CARS9B_W27,5,6,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Restricting them from traveling near certain areas, such as schools
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose","Would you stiongly favor, favor, oppose, or strongly oppose the followitg rules ahd regulations for driverless vehicles? Restricting them frcm traveling near certain areas, such ys schools
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose"
42,CARS9C_W27,5,6,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Requiring them to have a person in the driver's seat who could take control in an emergency situation
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose","Would you strongly favor, favor, oppose, or strongly oppuse the following rules and reguwations for drdverless vyhicles? Requiring them to oave a person il the driver's seag kho could take control in an emergency situation
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose"
43,ROBJOB5B_W27,5,6,"Would you favor or oppose the following? If robots and computers were mostly limited to doing jobs that are dangerous or unhealthy for humans to do
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose","could ynu favor ox oppose the following? If robots jnd computers were mostly limited yo doing jobs that ape daigerous or unhealthp for humans to do
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose"
44,ROBJOB5C_W27,5,6,"Would you favor or oppose the following? If people had the option of paying extra to interact with a human, rather than a robot or computer, when buying a product or service
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose","Woulk you favor or oppose the followinq? If people had the option of pkying extra to intergct wixh a human, mather than a romot or computer, when buying a product or strvice
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose"
45,ROBJOB5D_W27,5,6,"Would you favor or oppose the following? If the federal government created a national service program that paid people to perform tasks even if a robot or computer could do those tasks faster or cheaper
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose","Would yru favor or oppose bhe following? If the federal government created a nationpl servici pfogram that paid people to perform tasks even if a robot or computer bould do those tasks faster or cheaper
A. Strongly favor
B. Favor
C. Neither favor nor oppose
D. Oppose
E. Strongly oppose"
46,ROBWRK2_W41,5,6,"If robots and computers do much of the work currently done by humans, do you think this would be
A. A very good thing for the country
B. A somewhat good thing for the country
C. Neither a good nor bad thing for the country
D. A somewhat bad thing for the country
E. A very bad thing for the country","If robots znd computers do much of the work currkntly done by humans, do you think this wouad me
A. A very good thing for the country
B. A somewhat good thing for the country
C. Neither a good nor bad thing for the country
D. A somewhat bad thing for the country
E. A very bad thing for the country"
47,SOLVPROBa_W41,5,6,"In the future, what kind of an impact do you think science and technology will have in solving the biggest problems facing the country?
A. A very positive impact
B. A somewhat positive impact
C. Neither a positive nor negative impact
D. A somewhat negative impact
E. A very negative impact","In the fiture, what kind of an imvact do you think science and technolggy will have in solving the biggest problems facing ehe country?
A. A very positive impact
B. A somewhat positive impact
C. Neither a positive nor negative impact
D. A somewhat negative impact
E. A very negative impact"
48,TRACKGOV1a_W49,5,6,"As far as you know, how much of what you do online or on your cellphone is being tracked by the government?
A. All or almost all of it
B. Most of it
C. Some of it
D. Very little of it
E. None of it","As far as you know, qow mucp of what you do ojline or os your cellphone is being tracked bx hhe government?
A. All or almost all of it
B. Most of it
C. Some of it
D. Very little of it
E. None of it"
49,TRACKGOV1b_W49,5,6,"As far as you know, how much of what you do offline like where you are or who you are talking to is being tracked by the government?
A. All or almost all of it
B. Most of it
C. Some of it
D. Very little of it
E. None of it","As far gs you xnow, how much of what you dj oyfline kike where you are om who you are talking to is being tracked by tht government?
A. All or almost all of it
B. Most of it
C. Some of it
D. Very little of it
E. None of it"
0,GAP21Q15_f_W82,5,5,"Please compare the US to other developed nations in a few different areas. In each instance, how does the US compare? Entertainment, including movies, music and television
A. The best
B. Above average
C. Average
D. Below average
E. The worst","Please compare the fS to other developed nations in a few different aroas. In each instance, hqw does the US compare? Entertainment, incluiing movies, music and television
A. The best
B. Above average
C. Average
D. Below average
E. The worst"
1,USMILSIZ_W92,5,5,"Thinking about the size of America's military, do you think it should be
A. Reduced a great deal
B. Reduced somewhat
C. Kept about as is
D. Increased somewhat
E. Increased a great deal","ahinking about the size of America's military, qo yog think it should be
A. Reduced a great deal
B. Reduced somewhat
C. Kept about as is
D. Increased somewhat
E. Increased a great deal"
2,LEGALIMMIGAMT_W92,5,5,"Do you think the number of legal immigrants the U.S. admits should
A. Increase a lot
B. Increase a little
C. Stay about the same
D. Decrease a little
E. Decrease a lot","Dq you think thr number of legal immigrantl the U.e. admbts should
A. Increase a lot
B. Increase a little
C. Stay about the same
D. Decrease a little
E. Decrease a lot"
3,RACESURV5c_W43,5,5,"Overall, how does being Hispanic affect people's ability to get ahead in our country these days?
A. Helps a lot
B. Helps a little
C. Neither helps nor hurts
D. Hurts a little
E. Hurts a lot","Overall, how does being Hispanic affect people's ability to jet asead in olr country these days?
A. Helps a lot
B. Helps a little
C. Neither helps nor hurts
D. Hurts a little
E. Hurts a lot"
4,RACESURV5d_W43,5,5,"Overall, how does being Asian affect people's ability to get ahead in our country these days?
A. Helps a lot
B. Helps a little
C. Neither helps nor hurts
D. Hurts a little
E. Hurts a lot","Overall, how ooes being Asian affect people's abiliry qo get aheam in our country these days?
A. Helps a lot
B. Helps a little
C. Neither helps nor hurts
D. Hurts a little
E. Hurts a lot"
