,key,num options,num options new,orig alpha,float alpha
0,HAPPEN2a_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? There will be a terrorist attack on the U.S. as bad as or worse than 9/11
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How liekly do you thnik it is that the folloiwng will hpapen in the next 30 yeras? Three will be a terrroist atatck on the U.S. as bad as or wrose than 9/11
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
1,HAPPEN2b_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likley do you thnik it is that the flolowing will happen in the next 30 yaers? The wolrd will face a maojr eenrgy crsiis
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
2,HAPPEN2c_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? There will be a cure for Alzheimer's disease
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likley do you thnik it is that the folloiwng will hpapen in the next 30 yeras? Three will be a cure for Alzheimre's disaese
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
3,HAPPEN2d_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? China will overtake the U.S. as the world's main superpower
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How lkiely do you tihnk it is that the flolowing will hpapen in the next 30 yaers? Chnia will overtkae the U.S. as the wrold's main supeprower
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
4,HAPPEN2e_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? A woman will be elected U.S. president
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How liekly do you tihnk it is that the fololwing will hpapen in the next 30 yaers? A wmoan will be elceted U.S. presdient
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
5,HAPPEN2f_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? A Hispanic person will be elected U.S. president
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How liekly do you thnik it is that the following will happen in the next 30 yeras? A Hsipanic perosn will be elceted U.S. persident
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
6,HAPPEN2g_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? Most Americans will work into their 70s to have enough resources to retire
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likley do you tihnk it is that the follownig will hpapen in the next 30 yeras? Most Ameriacns will work into thier 70s to have enoguh rseources to rteire
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
7,HAPPEN2h_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? There will be increasing violence against Jews in the U.S.
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likley do you tihnk it is that the following will hpapen in the next 30 yeasr? Tehre will be incresaing violnece aaginst Jews in the U.S.
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
8,PREDICTA_W27,5,6,"Do you think the following will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Do you thnik the following will or will not happen in the next 20 yeras? Doctros will rely on compuetr porgrams to daignose most diseaess and determnie tretaments
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
9,PREDICTB_W27,5,6,"Do you think the following will or will not happen in the next 20 years? Most stores and retail businesses will be fully automated and involve little or no human interaction between customers and employees
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Do you tihnk the follownig will or will not happen in the next 20 yeras? Most stroes and retial businesses will be fluly autmoated and inovlve little or no huamn interatcion bewteen custmoers and emploeyes
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
