,key,num options,num options new,orig alpha,float alpha
0,HAPPEN2a_W41,5,5,"How likely do you think it is that the following will happen in the next 30 years? There will be a terrorist attack on the U.S. as bad as or worse than 9/11
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How lkeily do you tihnk it is that the foiwnlolg will hppaen in the next 30 years? Three will be a tsoierrrt acattk on the U.S. as bad as or worse than 9/11
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
1,HAPPEN2b_W41,5,5,"How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How llieky do you thnik it is that the foilownlg will hpepan in the next 30 years? The wrlod will face a maojr egerny cisris
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
2,HAPPEN2c_W41,5,5,"How likely do you think it is that the following will happen in the next 30 years? There will be a cure for Alzheimer's disease
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How lelkiy do you think it is that the fowolling will hppean in the next 30 years? Three will be a cure for Alzheimer's dsiasee
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
3,HAPPEN2d_W41,5,5,"How likely do you think it is that the following will happen in the next 30 years? China will overtake the U.S. as the world's main superpower
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How lilkey do you tnihk it is that the fonilwolg will hppaen in the next 30 years? Cinha will oravetke the U.S. as the world's main sppwuoreer
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
4,HAPPEN2e_W41,5,5,"How likely do you think it is that the following will happen in the next 30 years? A woman will be elected U.S. president
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How lkliey do you tnhik it is that the flwnoiolg will hapepn in the next 30 years? A wamon will be eeetlcd U.S. pneserdit
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
5,HAPPEN2f_W41,5,5,"How likely do you think it is that the following will happen in the next 30 years? A Hispanic person will be elected U.S. president
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How leliky do you tnhik it is that the folwloing will haeppn in the next 30 years? A Hapisnic porsen will be ecteled U.S. psnideert
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
6,HAPPEN2g_W41,5,5,"How likely do you think it is that the following will happen in the next 30 years? Most Americans will work into their 70s to have enough resources to retire
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How lkiely do you tnihk it is that the fillwnoog will hpepan in the next 30 years? Most Aarnmecis will work into their 70s to have egonuh rorseceus to rirete
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
7,HAPPEN2h_W41,5,5,"How likely do you think it is that the following will happen in the next 30 years? There will be increasing violence against Jews in the U.S.
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How llekiy do you tnihk it is that the floilnwog will heppan in the next 30 years? Terhe will be iairncensg vlocenie anigast Jews in the U.S.
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
8,PREDICTA_W27,5,5,"Do you think the following will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Do you tihnk the fwnoliolg will or will not hapepn in the next 20 years? Dtrcoos will rely on cmeptour pogrrmas to dsnagioe most dassiees and dmnertiee trantmeets
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
9,PREDICTB_W27,5,5,"Do you think the following will or will not happen in the next 20 years? Most stores and retail businesses will be fully automated and involve little or no human interaction between customers and employees
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Do you think the fooinlwlg will or will not hppean in the next 20 years? Most sertos and riaetl besuisnses will be flluy atoautemd and iovlnve ltitle or no huamn iienrttoacn bteeewn csureotms and eeeoplyms
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
10,PREDICTC_W27,5,5,"Do you think the following will or will not happen in the next 20 years? Most deliveries in cities will be made by robots or drones instead of humans
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Do you tihnk the flonlowig will or will not hpepan in the next 20 years? Most diereilves in ctiies will be made by rotbos or derons itsaned of hmuans
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
11,PREDICTD_W27,5,5,"Do you think the following will or will not happen in the next 20 years? When people want to buy most common products, they will create them at home using a 3-D printer
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Do you thnik the fiowlonlg will or will not hppean in the next 20 years? When polepe want to buy most coommn products, they will cetare them at home usnig a 3-D pitenrr
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen"
