key,num options,num options new,orig alpha,float alpha
HAPPEN2a_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? There will be a terrorist attack on the U.S. as bad as or worse than 9/11
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely do you think it is that the following will happen in the next 30 years? There will be a terrorist attack on the U.S. as bad as or worse than 9/11
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen
F. Don't know"
HAPPEN2b_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen
F. Don't know"
HAPPEN2c_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? There will be a cure for Alzheimer's disease
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely do you think it is that the following will happen in the next 30 years? There will be a cure for Alzheimer's disease
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen
F. Don't know"
HAPPEN2d_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? China will overtake the U.S. as the world's main superpower
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely do you think it is that the following will happen in the next 30 years? China will overtake the U.S. as the world's main superpower
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen
F. Don't know"
HAPPEN2e_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? A woman will be elected U.S. president
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely do you think it is that the following will happen in the next 30 years? A woman will be elected U.S. president
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen
F. Don't know"
HAPPEN2f_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? A Hispanic person will be elected U.S. president
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely do you think it is that the following will happen in the next 30 years? A Hispanic person will be elected U.S. president
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen
F. Don't know"
HAPPEN2g_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? Most Americans will work into their 70s to have enough resources to retire
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely do you think it is that the following will happen in the next 30 years? Most Americans will work into their 70s to have enough resources to retire
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen
F. Don't know"
HAPPEN2h_W41,5,6,"How likely do you think it is that the following will happen in the next 30 years? There will be increasing violence against Jews in the U.S.
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","How likely do you think it is that the following will happen in the next 30 years? There will be increasing violence against Jews in the U.S.
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen
F. Don't know"
PREDICTA_W27,5,6,"Do you think the following will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Do you think the following will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen
F. Don't know"
PREDICTB_W27,5,6,"Do you think the following will or will not happen in the next 20 years? Most stores and retail businesses will be fully automated and involve little or no human interaction between customers and employees
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen","Do you think the following will or will not happen in the next 20 years? Most stores and retail businesses will be fully automated and involve little or no human interaction between customers and employees
A. Will definitely happen
B. Will probably happen
C. May or may not happen
D. Will probably not happen
E. Will definitely not happen
F. Don't know"
