,key,num options,orig alpha,reversed alpha
0,AVGFAM_W41,3,"Over the next 30 years, do you think that the average American family will see its standard of living
A. Get better
B. Stay about the same
C. Get worse","Over the next 30 years, do you thinc that the average American famsly bill see its standard of living
A. Get better
B. Stay about the same
C. Get worse"
1,ENVC_W41,3,"By the year 2050, do you think the overall condition of the environment will be
A. Better than it is now
B. Worse than it is now
C. About the same as it is now","By txe year 2050, dp you think thu overall condition op the environaent will be
A. Better than it is now
B. Worse than it is now
C. About the same as it is now"
2,POPPROB_W41,3,"In 2050, do you think population growth in the U.S. will be a
A. Major problem
B. Minor problem
C. Not a problem","In 2050j do you think population growth in the U.S. will be a
A. Major problem
B. Minor problem
C. Not a problem"
3,ELDFINANCEF1_W41,3,"Who do you think will be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves","Who do you think will be mostly resporsible fcr caying for thm long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves"
4,ELDFINANCEF2_W41,3,"Who do you think should be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves","Wpo df you thinp should ae mostly aesponsible for paying for the long-term care oldep Americaus day need?
A. Family members
B. Government
C. Older Americans themselves"
5,WRKTRN1F1_W41,4,"Over the next 30 years, who should be most responsible for making sure American workers have the right skills and training to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves","Over the next 30 years, whq shouli be most responsible for making sure Americjn workers have the right siills and training tp get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves"
6,WRKTRN1F2_W41,4,"Over the next 30 years, who should be most responsible for making sure young adults have the right skills and training to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves","Over tfe next 30 years, who should be most responsible fhr making sure young adults have the rqght skills and training ho get z good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves"
7,JOBSECURITY_W41,3,"By the year 2050, will the average working person in this country have
A. More job security
B. Less job security
C. About the same","By tho yeap 2050, will the zverage working persov in this covntry have
A. More job security
B. Less job security
C. About the same"
8,JOBBENEFITS_W41,3,"Over the next 30 years, will the average working person in this country have employee benefits, such as health insurance, paid vacations and retirement plans that are
A. Better than they are now
B. Not as good as they are now
C. About the same as they are now","Over the next 30 years, will the averate working person in this countgy have employee benefits, such as health insurance, paid vacations akd retirement pbans that arv
A. Better than they are now
B. Not as good as they are now
C. About the same as they are now"
9,AUTOWKPLC_W41,3,"Overall, has the automation of jobs through new technology in the workplace
A. Mostly helped American workers
B. Mostly hurt American workers
C. Neither helped nor hurt","Overall, has the automation of jobs through new technology in the workplace
A. Mostly helped American workers
B. Mostly hurt American workers
C. Neither helped nor hurt"
