,key,num options,orig alpha,reversed alpha
0,AVGFAM_W41,3,"Over the next 30 years, do you think that the average American family will see its standard of living
A. Get better
B. Stay about the same
C. Get worse","Over the next 30 yaers, do you thnik that the avergae Ameircan fmaily will see its stnadard of lviing
A. Get better
B. Stay about the same
C. Get worse"
1,ENVC_W41,3,"By the year 2050, do you think the overall condition of the environment will be
A. Better than it is now
B. Worse than it is now
C. About the same as it is now","By the year 2500, do you thnik the overlal condtiion of the environemnt will be
A. Better than it is now
B. Worse than it is now
C. About the same as it is now"
2,POPPROB_W41,3,"In 2050, do you think population growth in the U.S. will be a
A. Major problem
B. Minor problem
C. Not a problem","In 2005, do you tihnk popualtion gorwth in the U.S. will be a
A. Major problem
B. Minor problem
C. Not a problem"
3,ELDFINANCEF1_W41,3,"Who do you think will be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves","Who do you thnik will be msotly responsbile for paiyng for the long-etrm care oledr Aemricans may nede?
A. Family members
B. Government
C. Older Americans themselves"
4,ELDFINANCEF2_W41,3,"Who do you think should be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves","Who do you thnik sohuld be msotly responisble for paynig for the longt-erm care odler Ameriacns may nede?
A. Family members
B. Government
C. Older Americans themselves"
5,WRKTRN1F1_W41,4,"Over the next 30 years, who should be most responsible for making sure American workers have the right skills and training to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves","Over the next 30 yaers, who sohuld be most resopnsible for mkaing sure Amercian wokrers have the rihgt sklils and traniing to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves"
6,WRKTRN1F2_W41,4,"Over the next 30 years, who should be most responsible for making sure young adults have the right skills and training to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves","Over the next 30 yeasr, who sohuld be most responisble for maikng sure yuong adluts have the rgiht skills and traiinng to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves"
7,JOBSECURITY_W41,3,"By the year 2050, will the average working person in this country have
A. More job security
B. Less job security
C. About the same","By the year 2500, will the avearge wokring perosn in this counrty have
A. More job security
B. Less job security
C. About the same"
8,JOBBENEFITS_W41,3,"Over the next 30 years, will the average working person in this country have employee benefits, such as health insurance, paid vacations and retirement plans that are
A. Better than they are now
B. Not as good as they are now
C. About the same as they are now","Over the next 30 yaers, will the avergae worknig pesron in this coutnry have emplyoee beneifts, such as heatlh insurnace, paid vacatoins and retiremnet palns that are
A. Better than they are now
B. Not as good as they are now
C. About the same as they are now"
9,AUTOWKPLC_W41,3,"Overall, has the automation of jobs through new technology in the workplace
A. Mostly helped American workers
B. Mostly hurt American workers
C. Neither helped nor hurt","Overlal, has the automaiton of jobs trhough new technloogy in the wokrplace
A. Mostly helped American workers
B. Mostly hurt American workers
C. Neither helped nor hurt"
10,LEGALIMG_W41,3,"In order to maintain the strength of the U.S. economy over the next 30 years, do you think that legal immigration will need to be
A. Increased
B. Maintained at current levels
C. Decreased","In oredr to maitnain the strentgh of the U.S. ecnoomy over the next 30 yaers, do you tihnk that leagl immigartion will need to be
A. Increased
B. Maintained at current levels
C. Decreased"
