,key,num options,orig alpha,reversed alpha
0,AVGFAM_W41,3,"Over the next 30 years, do you think that the average American family will see its standard of living
A. Get better
B. Stay about the same
C. Get worse","Over the next 30 years, do you tinhk that the aegvare Aciraemn falimy will see its sraandtd of liinvg
A. Get better
B. Stay about the same
C. Get worse"
1,ENVC_W41,3,"By the year 2050, do you think the overall condition of the environment will be
A. Better than it is now
B. Worse than it is now
C. About the same as it is now","By the year 2050, do you tinhk the oeavlrl codoiintn of the enennmiorvt will be
A. Better than it is now
B. Worse than it is now
C. About the same as it is now"
2,POPPROB_W41,3,"In 2050, do you think population growth in the U.S. will be a
A. Major problem
B. Minor problem
C. Not a problem","In 2050, do you tnihk palotoipun gwroth in the U.S. will be a
A. Major problem
B. Minor problem
C. Not a problem"
3,ELDFINANCEF1_W41,3,"Who do you think will be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves","Who do you tnhik will be mtsoly roiensbslpe for panyig for the long-term care oeldr Ainmearcs may need?
A. Family members
B. Government
C. Older Americans themselves"
4,ELDFINANCEF2_W41,3,"Who do you think should be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves","Who do you tnihk suhlod be mstoly rispnlboese for paiyng for the long-term care older Aianemrcs may need?
A. Family members
B. Government
C. Older Americans themselves"
5,WRKTRN1F1_W41,4,"Over the next 30 years, who should be most responsible for making sure American workers have the right skills and training to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves","Over the next 30 years, who shloud be most rbsoenslipe for minakg sure Amieracn wrreoks have the rhigt slikls and tniriang to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves"
6,WRKTRN1F2_W41,4,"Over the next 30 years, who should be most responsible for making sure young adults have the right skills and training to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves","Over the next 30 years, who slhuod be most ressnbpiole for mkiang sure young atduls have the rihgt slliks and tnrainig to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves"
7,JOBSECURITY_W41,3,"By the year 2050, will the average working person in this country have
A. More job security
B. Less job security
C. About the same","By the year 2050, will the aarvege wriokng pseron in this ctornuy have
A. More job security
B. Less job security
C. About the same"
8,JOBBENEFITS_W41,3,"Over the next 30 years, will the average working person in this country have employee benefits, such as health insurance, paid vacations and retirement plans that are
A. Better than they are now
B. Not as good as they are now
C. About the same as they are now","Over the next 30 years, will the arveage wioknrg porsen in this ctornuy have eemyople benefits, such as hatleh insurance, paid vtncaaios and rneemretit palns that are
A. Better than they are now
B. Not as good as they are now
C. About the same as they are now"
9,AUTOWKPLC_W41,3,"Overall, has the automation of jobs through new technology in the workplace
A. Mostly helped American workers
B. Mostly hurt American workers
C. Neither helped nor hurt","Overall, has the amoouitatn of jobs tourghh new tgoohnlcey in the wpalrocke
A. Mostly helped American workers
B. Mostly hurt American workers
C. Neither helped nor hurt"
