key,num options,orig alpha,reversed alpha
AVGFAM_W41,3,"Over the next 30 years, do you think that the average American family will see its standard of living
A. Get better
B. Stay about the same
C. Get worse","Over the next 30 years, do you think that the average American family will see its standard of living
A. Get worse
B. Stay about the same
C. Get better"
ENVC_W41,3,"By the year 2050, do you think the overall condition of the environment will be
A. Better than it is now
B. Worse than it is now
C. About the same as it is now","By the year 2050, do you think the overall condition of the environment will be
A. About the same as it is now
B. Worse than it is now
C. Better than it is now"
POPPROB_W41,3,"In 2050, do you think population growth in the U.S. will be a
A. Major problem
B. Minor problem
C. Not a problem","In 2050, do you think population growth in the U.S. will be a
A. Not a problem
B. Minor problem
C. Major problem"
ELDFINANCEF1_W41,3,"Who do you think will be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves","Who do you think will be mostly responsible for paying for the long-term care older Americans may need?
A. Older Americans themselves
B. Government
C. Family members"
ELDFINANCEF2_W41,3,"Who do you think should be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves","Who do you think should be mostly responsible for paying for the long-term care older Americans may need?
A. Older Americans themselves
B. Government
C. Family members"
WRKTRN1F1_W41,4,"Over the next 30 years, who should be most responsible for making sure American workers have the right skills and training to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves","Over the next 30 years, who should be most responsible for making sure American workers have the right skills and training to get a good job?
A. Individuals themselves
B. The education system
C. Employers
D. Government"
WRKTRN1F2_W41,4,"Over the next 30 years, who should be most responsible for making sure young adults have the right skills and training to get a good job?
A. Government
B. Employers
C. The education system
D. Individuals themselves","Over the next 30 years, who should be most responsible for making sure young adults have the right skills and training to get a good job?
A. Individuals themselves
B. The education system
C. Employers
D. Government"
JOBSECURITY_W41,3,"By the year 2050, will the average working person in this country have
A. More job security
B. Less job security
C. About the same","By the year 2050, will the average working person in this country have
A. About the same
B. Less job security
C. More job security"
JOBBENEFITS_W41,3,"Over the next 30 years, will the average working person in this country have employee benefits, such as health insurance, paid vacations and retirement plans that are
A. Better than they are now
B. Not as good as they are now
C. About the same as they are now","Over the next 30 years, will the average working person in this country have employee benefits, such as health insurance, paid vacations and retirement plans that are
A. About the same as they are now
B. Not as good as they are now
C. Better than they are now"
AUTOWKPLC_W41,3,"Overall, has the automation of jobs through new technology in the workplace
A. Mostly helped American workers
B. Mostly hurt American workers
C. Neither helped nor hurt","Overall, has the automation of jobs through new technology in the workplace
A. Neither helped nor hurt
B. Mostly hurt American workers
C. Mostly helped American workers"
LEGALIMG_W41,3,"In order to maintain the strength of the U.S. economy over the next 30 years, do you think that legal immigration will need to be
A. Increased
B. Maintained at current levels
C. Decreased","In order to maintain the strength of the U.S. economy over the next 30 years, do you think that legal immigration will need to be
A. Decreased
B. Maintained at current levels
C. Increased"
HARASS1F1a_W41,3,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually is?
A. Major problem
B. Minor problem
C. Not a problem","When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually is?
A. Not a problem
B. Minor problem
C. Major problem"
HARASS1F1b_W41,3,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding ou is?
A. Major problem
B. Minor problem
C. Not a problem","When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding ou is?
A. Not a problem
B. Minor problem
C. Major problem"
HARASS1F1c_W41,3,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?
A. Major problem
B. Minor problem
C. Not a problem","When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?
A. Not a problem
B. Minor problem
C. Major problem"
HARASS1F1d_W41,3,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or ass is?
A. Major problem
B. Minor problem
C. Not a problem","When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or ass is?
A. Not a problem
B. Minor problem
C. Major problem"
HARASS1NOWRKF2a_W41,3,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is?
A. Major problem
B. Minor problem
C. Not a problem","When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is?
A. Not a problem
B. Minor problem
C. Major problem"
HARASS1NOWRKF2c_W41,3,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?
A. Major problem
B. Minor problem
C. Not a problem","When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?
A. Not a problem
B. Minor problem
C. Major problem"
HARASS1NOWRKF2d_W41,3,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?
A. Major problem
B. Minor problem
C. Not a problem","When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?
A. Not a problem
B. Minor problem
C. Major problem"
FUTR_ABR_W41,4,"Thinking again about the year 2050, or 30 years from now, do you think abortion will be
A. Legal with no restrictions
B. Legal but with some restrictions
C. Illegal except in certain cases
D. Illegal with no exceptions","Thinking again about the year 2050, or 30 years from now, do you think abortion will be
A. Illegal with no exceptions
B. Illegal except in certain cases
C. Legal but with some restrictions
D. Legal with no restrictions"
FUTR_DIV_W41,3,"By 2050, do you expect that people who are married will be
A. More likely to get divorced than people are now
B. Less likely to get divorced than people are now
C. About as likely to get divorced as people are now","By 2050, do you expect that people who are married will be
A. About as likely to get divorced as people are now
B. Less likely to get divorced than people are now
C. More likely to get divorced than people are now"
FUTR_M_W41,3,"By 2050, do you expect that people will be
A. More likely to get married than people are now
B. Less likely to get married than people are now
C. About as likely to get married as people are now","By 2050, do you expect that people will be
A. About as likely to get married as people are now
B. Less likely to get married than people are now
C. More likely to get married than people are now"
FUTR_K_W41,3,"By 2050, do you expect that people will be
A. More likely to have children than people are now
B. Less likely to have children than people are now
C. About as likely to have children as people are now","By 2050, do you expect that people will be
A. About as likely to have children as people are now
B. Less likely to have children than people are now
C. More likely to have children than people are now"
GAP21Q6_W82,3,"Which statement comes closest to your own views, even if neither is exactly right? Democracy in the US
A. Is a good example for other countries to follow
B. Used to be a good example, but has not been in recent years
C. Has never been a good example for other countries to follow","Which statement comes closest to your own views, even if neither is exactly right? Democracy in the US
A. Has never been a good example for other countries to follow
B. Used to be a good example, but has not been in recent years
C. Is a good example for other countries to follow"
GAP21Q10_W82,3,"Thinking about restrictions on public activity in the US over the course of the coronavirus outbreak, do you think there should have been
A. More restrictions
B. Fewer restrictions
C. The restrictions were about right","Thinking about restrictions on public activity in the US over the course of the coronavirus outbreak, do you think there should have been
A. The restrictions were about right
B. Fewer restrictions
C. More restrictions"
