key,response,group,num_options
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,a,orig alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
GAP21Q46_W82,b,forbid alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,b,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,b,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,orig alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,b,forbid alpha,2
RACESURV15b_W43,b,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,b,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,b,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,b,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,b,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,b,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV15b_W43,a,forbid alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,a,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,a,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,a,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,a,orig alpha,2
RACESURV47a_W43,a,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,orig alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,a,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47a_W43,b,forbid alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
RACESURV47b_W43,b,orig alpha,2
