key,response,group,num_options
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,c,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,a,orig alpha,3
AVGFAM_W41,b,orig alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,a,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,c,reversed alpha,3
AVGFAM_W41,b,reversed alpha,3
ENVC_W41,a,orig alpha,3
ENVC_W41,c,orig alpha,3
ENVC_W41,b,orig alpha,3
ENVC_W41,c,orig alpha,3
ENVC_W41,b,orig alpha,3
ENVC_W41,a,orig alpha,3
ENVC_W41,c,orig alpha,3
ENVC_W41,a,orig alpha,3
ENVC_W41,a,orig alpha,3
